CMDLINE /home/lfgalizar/.pyenv/versions/3.10.8/bin/python3.10 sorts.py
MEM 0.625000 1694456263.3964
MEM 20.718750 1694456263.4967
MEM 20.718750 1694456263.5970
MEM 20.968750 1694456263.6973
MEM 21.218750 1694456263.7975
MEM 21.468750 1694456263.8978
MEM 21.593750 1694456263.9981
MEM 21.843750 1694456264.0983
MEM 22.093750 1694456264.1986
MEM 22.343750 1694456264.2989
MEM 22.468750 1694456264.3991
MEM 22.718750 1694456264.4994
MEM 22.968750 1694456264.5997
MEM 23.218750 1694456264.7000
MEM 23.468750 1694456264.8002
MEM 23.718750 1694456264.9005
MEM 23.968750 1694456265.0008
MEM 24.093750 1694456265.1010
MEM 24.343750 1694456265.2014
MEM 24.593750 1694456265.3016
MEM 24.843750 1694456265.4019
MEM 24.968750 1694456265.5022
MEM 25.218750 1694456265.6025
MEM 25.468750 1694456265.7028
MEM 25.718750 1694456265.8031
MEM 25.843750 1694456265.9033
MEM 26.093750 1694456266.0036
MEM 26.343750 1694456266.1040
MEM 26.593750 1694456266.2043
MEM 26.718750 1694456266.3046
MEM 26.968750 1694456266.4049
MEM 27.218750 1694456266.5051
MEM 27.468750 1694456266.6054
MEM 27.593750 1694456266.7056
MEM 27.843750 1694456266.8060
MEM 28.218750 1694456266.9062
MEM 28.468750 1694456267.0065
MEM 28.593750 1694456267.1068
MEM 28.843750 1694456267.2071
MEM 29.218750 1694456267.3074
MEM 29.468750 1694456267.4076
MEM 29.718750 1694456267.5079
MEM 29.968750 1694456267.6081
MEM 30.093750 1694456267.7084
MEM 30.343750 1694456267.8087
MEM 30.593750 1694456267.9090
MEM 30.843750 1694456268.0093
MEM 30.968750 1694456268.1096
MEM 31.218750 1694456268.2099
MEM 31.468750 1694456268.3102
MEM 31.593750 1694456268.4105
FUNC __main__.quicksort_inplace 20.7188 1694456263.5764 20.7188 1694456263.5768 8
FUNC __main__.quicksort_inplace 20.7188 1694456263.5765 20.7188 1694456263.5766 9
FUNC __main__.quicksort_inplace 20.7188 1694456263.5767 20.7188 1694456263.5767 9
FUNC __main__.quicksort_inplace 20.7188 1694456263.5771 20.7188 1694456263.5772 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5777 20.7188 1694456263.5847 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5778 20.7188 1694456263.5807 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5779 20.7188 1694456263.5784 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5780 20.7188 1694456263.5781 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5782 20.7188 1694456263.5783 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5785 20.7188 1694456263.5806 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5786 20.7188 1694456263.5800 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5787 20.7188 1694456263.5788 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5789 20.7188 1694456263.5800 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5789 20.7188 1694456263.5797 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5790 20.7188 1694456263.5791 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5792 20.7188 1694456263.5796 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5793 20.7188 1694456263.5794 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5795 20.7188 1694456263.5796 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5798 20.7188 1694456263.5799 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5801 20.7188 1694456263.5806 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5802 20.7188 1694456263.5803 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5804 20.7188 1694456263.5805 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5808 20.7188 1694456263.5847 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5809 20.7188 1694456263.5810 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5811 20.7188 1694456263.5846 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5812 20.7188 1694456263.5819 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5813 20.7188 1694456263.5817 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5814 20.7188 1694456263.5814 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5815 20.7188 1694456263.5816 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5818 20.7188 1694456263.5819 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5820 20.7188 1694456263.5845 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5821 20.7188 1694456263.5832 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5822 20.7188 1694456263.5823 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5824 20.7188 1694456263.5832 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5825 20.7188 1694456263.5826 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5827 20.7188 1694456263.5831 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5827 20.7188 1694456263.5828 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5829 20.7188 1694456263.5830 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5833 20.7188 1694456263.5844 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5834 20.7188 1694456263.5842 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5835 20.7188 1694456263.5839 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5836 20.7188 1694456263.5837 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5838 20.7188 1694456263.5839 7
FUNC __main__.quicksort_inplace 20.7188 1694456263.5840 20.7188 1694456263.5841 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5843 20.7188 1694456263.5844 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5849 20.7188 1694456263.5898 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5850 20.7188 1694456263.5882 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5851 20.7188 1694456263.5851 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5852 20.7188 1694456263.5881 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5853 20.7188 1694456263.5865 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5854 20.7188 1694456263.5855 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5856 20.7188 1694456263.5864 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5857 20.7188 1694456263.5861 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5858 20.7188 1694456263.5859 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5859 20.7188 1694456263.5860 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5862 20.7188 1694456263.5863 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5866 20.7188 1694456263.5880 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5867 20.7188 1694456263.5874 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5868 20.7188 1694456263.5868 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5869 20.7188 1694456263.5874 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5870 20.7188 1694456263.5871 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5872 20.7188 1694456263.5873 6
FUNC __main__.quicksort_inplace 20.7188 1694456263.5875 20.7188 1694456263.5879 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5876 20.7188 1694456263.5877 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5878 20.7188 1694456263.5879 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5883 20.7188 1694456263.5897 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5884 20.7188 1694456263.5895 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5885 20.7188 1694456263.5892 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5886 20.7188 1694456263.5890 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5886 20.7188 1694456263.5887 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5888 20.7188 1694456263.5889 5
FUNC __main__.quicksort_inplace 20.7188 1694456263.5891 20.7188 1694456263.5891 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5893 20.7188 1694456263.5894 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5896 20.7188 1694456263.5896 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5899 20.7188 1694456263.5900 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5901 20.7188 1694456263.5908 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5902 20.7188 1694456263.5906 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5903 20.7188 1694456263.5903 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5904 20.7188 1694456263.5905 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5907 20.7188 1694456263.5908 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5909 20.7188 1694456263.5931 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5910 20.7188 1694456263.5922 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5911 20.7188 1694456263.5912 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5913 20.7188 1694456263.5921 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5914 20.7188 1694456263.5915 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5916 20.7188 1694456263.5920 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5917 20.7188 1694456263.5917 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5918 20.7188 1694456263.5919 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5922 20.7188 1694456263.5930 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5923 20.7188 1694456263.5924 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5925 20.7188 1694456263.5929 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5926 20.7188 1694456263.5927 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5928 20.7188 1694456263.5929 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5932 20.7188 1694456263.5947 0
FUNC __main__.quicksort_inplace 20.7188 1694456263.5933 20.7188 1694456263.5944 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5934 20.7188 1694456263.5942 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5935 20.7188 1694456263.5939 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5936 20.7188 1694456263.5937 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5938 20.7188 1694456263.5939 4
FUNC __main__.quicksort_inplace 20.7188 1694456263.5940 20.7188 1694456263.5941 3
FUNC __main__.quicksort_inplace 20.7188 1694456263.5943 20.7188 1694456263.5944 2
FUNC __main__.quicksort_inplace 20.7188 1694456263.5945 20.7188 1694456263.5946 1
FUNC __main__.quicksort_inplace 20.7188 1694456263.5948 20.7188 1694456263.5956 0
